# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((total_metal_loading / av_bulk_int_dist) * (av_delta_M1_M2_subsurf * std_dev)) + a2 * (exp(4.497567e-03*((time+5.219495e+02) / (av_mu_C_critical_subsurf+3.834819e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.126246411762206; Max AE: 0.732248602809316
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -5.224451092918856e-07, -3.980732812597859e+02,  3.923260777359604e+00,  7.010757773320577e-01, 
# 3   , -1.166096649211449e-06, -3.757959847901551e+02,  3.812171289250561e+00,  5.046120599545619e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A^-1 * nm;                                        1|8|div|15|3|mult|mult; ((total_metal_loading / av_bulk_int_dist) * (av_delta_M1_M2_subsurf * std_dev)); $\left(\left(\frac{ total_{metal, loading} }{ av_{bulk, int, dist} } \right) \left(av_{delta, M1, M2, subsurf} std_{dev}\right)\right)$; ((total_metal_loading ./ av_bulk_int_dist) .* (av_delta_M1_M2_subsurf .* std_dev)); total_metal_loading,av_bulk_int_dist,av_delta_M1_M2_subsurf,std_dev
# 2;  2; Unitless;                                         0|12|div|exp:4.4975669151730e-03,0.0000000000000e+00,5.2194951175725e+02,3.8348189665005e+00; (exp(4.497567e-03*((time+5.219495e+02) / (av_mu_C_critical_subsurf+3.834819e+00)))); $\left(\exp{ \left(4.498e-03\left(\frac{ time +5.219e+02 }{ av_{mu, C, critical, subsurf}+3.835e+00 } \right) \right)}\right)$; exp(4.497567e-03.*((time+5.219495e+02) ./ (av_mu_C_critical_subsurf+3.834819e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.086308194154021e-01,  7.660313335186942e+01,  9.582638937191346e-04,  2.269905585047794e-02
PdAg_1_9_100,  6.062451827416920e-01,  4.004844377379310e-01,  1.532062667037388e+02,  9.582638937191346e-04,  2.063282543523885e-02
PdAg_1_9_100,  3.628741788873400e-01,  3.930759549950564e-01,  2.298094000556082e+02,  9.582638937191346e-04,  1.875467809081036e-02
PdAg_1_9_100,  2.919675286925200e-01,  3.802101251462434e-01,  3.830156667593470e+02,  9.582638937191346e-04,  1.549570839451966e-02
PdAg_1_9_100,  2.856868471553150e-01,  3.746362263700394e-01,  4.596188001112164e+02,  9.582638937191346e-04,  1.408517818562739e-02
PdAg_1_9_100,  2.773647395214370e-01,  3.649537748490322e-01,  6.128250668149553e+02,  9.582638937191346e-04,  1.163761984036811e-02
PdAg_1_9_100,  2.742250823045090e-01,  3.607576892212026e-01,  6.894282001668247e+02,  9.582638937191346e-04,  1.057828044609756e-02
PdAg_1_9_100,  2.739275035497000e-01,  3.569399183276075e-01,  7.660313335186941e+02,  9.582638937191346e-04,  9.615369700266004e-03
PdAg_1_9_100,  2.691444146104700e-01,  3.448085781685856e-01,  1.072443866926172e+03,  9.582638937191346e-04,  6.564015964465096e-03
PdAg_1_9_100,  2.679801391469650e-01,  3.424243944791758e-01,  1.149047000278041e+03,  9.582638937191346e-04,  5.966512283200432e-03
PdAg_1_9_100,  2.658907762370700e-01,  3.402535932501979e-01,  1.225650133629911e+03,  9.582638937191346e-04,  5.423397660563531e-03
PdAg_1_9_100,  2.637375021423530e-01,  3.364762118573844e-01,  1.378856400333649e+03,  9.582638937191346e-04,  4.480982731278724e-03
PdAg_1_9_100,  2.621887653386570e-01,  3.333413110990295e-01,  1.532062667037388e+03,  9.582638937191346e-04,  3.702329700811900e-03
PdAg_1_9_100,  2.609797547787540e-01,  3.319791021272144e-01,  1.608665800389258e+03,  9.582638937191346e-04,  3.365317171063904e-03
PdAg_1_9_100,  2.597681369110620e-01,  3.307372481675085e-01,  1.685268933741127e+03,  9.582638937191346e-04,  3.058981932207167e-03
PdAg_1_9_100,  2.586590858830060e-01,  3.296047936458879e-01,  1.761872067092997e+03,  9.582638937191346e-04,  2.780531517809853e-03
