# c0 + a0 * (std_dev / surface_area) + a1 * (av_E_def_subsurf * time) + a2 * (av_delta_M1_M2_subsurf * time) + a3 * (particle_diameter / time) + a4 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.106887919602936; Max AE: 0.36992155612441
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.482892295742313e+01, -1.276648806181975e-02,  3.223667809585853e-02,  1.285583856644544e+00,  2.202048960692818e-01, -4.127039561912079e-01, 
# 3   , -1.950103922462223e+01, -3.179000004798963e-02,  9.102255918216001e-02,  1.302983989098373e+00,  2.400903040365474e-01, -5.605368738921263e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; min;                                              15|0|mult; (av_delta_M1_M2_subsurf * time); $\left(av_{delta, M1, M2, subsurf} time\right)$; (av_delta_M1_M2_subsurf .* time); av_delta_M1_M2_subsurf,time
# 3;  1; min^-1 * nm;                                      2|0|div; (particle_diameter / time); $\left(\frac{ particle_{diameter} }{ time } \right)$; (particle_diameter ./ time); particle_diameter,time
# 4;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.332439550975492e-01,  4.109589041095890e-02,  5.561999999999999e+00,  1.952640000000000e+00,  2.222222222222222e-01,  5.802464000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.497419049874936e-01,  4.109589041095890e-02,  1.390500000000000e+01,  4.881600000000000e+00,  8.888888888888889e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.090315767645705e-01,  4.109589041095890e-02,  1.946700000000000e+01,  6.834239999999999e+00,  6.349206349206349e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  2.947982405418924e-01,  4.109589041095890e-02,  2.224800000000000e+01,  7.810560000000000e+00,  5.555555555555555e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.828322479817267e-01,  4.109589041095890e-02,  2.502900000000000e+01,  8.786880000000000e+00,  4.938271604938271e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.632288280352831e-01,  4.109589041095890e-02,  3.059100000000000e+01,  1.073952000000000e+01,  4.040404040404041e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.548699731200236e-01,  4.109589041095890e-02,  3.337200000000000e+01,  1.171584000000000e+01,  3.703703703703703e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.471770513084389e-01,  4.109589041095890e-02,  3.615300000000000e+01,  1.269216000000000e+01,  3.418803418803419e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.332562605133549e-01,  4.109589041095890e-02,  4.171500000000000e+01,  1.464480000000000e+01,  2.962962962962963e-02,  5.802464000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.207143429682333e-01,  4.109589041095890e-02,  4.727699999999999e+01,  1.659744000000000e+01,  2.614379084967320e-02,  5.802464000000000e+00
