# c0 + a0 * ((particle_diameter^6) * (av_EA / time)) + a1 * ((av_BE_H_subsurf / av_W_change_H) * (av_E_def_subsurf * time)) + a2 * ((av_delta_M1_M2_subsurf * time) / (av_d_band_center_surf * av_W_change_H)) + a3 * (exp(1.956335e-01*((std_dev+4.518451e+01) / (av_BE_H_surf+8.957595e-02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.110307853869367; Max AE: 0.526522580349552
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -4.454814708217243e-05, -2.629743790640618e-03,  4.183221386701675e-02, -1.298391567233602e+02,  1.891528709442515e+00, 
# 3   , -2.126489295672243e-05, -4.536376850539033e-03,  7.148751711712016e-02, -1.328780761715766e+02,  2.037748009098130e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1 * nm^6;                               2|sp|6|0|div|mult; ((particle_diameter^6) * (av_EA / time)); $\left(\left(particle_{diameter}^6\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; ((particle_diameter).^6 .* (av_EA ./ time)); particle_diameter,av_EA,time
# 1;  2; eV * min;                                         19|17|div|14|0|mult|mult; ((av_BE_H_subsurf / av_W_change_H) * (av_E_def_subsurf * time)); $\left(\left(\frac{ av_{BE, H, subsurf} }{ av_{W, change, H} } \right) \left(av_{E, def, subsurf} time\right)\right)$; ((av_BE_H_subsurf ./ av_W_change_H) .* (av_E_def_subsurf .* time)); av_BE_H_subsurf,av_W_change_H,av_E_def_subsurf,time
# 2;  2; eV^-2 * min;                                      15|0|mult|18|17|mult|div; ((av_delta_M1_M2_subsurf * time) / (av_d_band_center_surf * av_W_change_H)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf} time\right) }{ \left(av_{d, band, center, surf} av_{W, change, H}\right) } \right)$; ((av_delta_M1_M2_subsurf .* time) ./ (av_d_band_center_surf .* av_W_change_H)); av_delta_M1_M2_subsurf,time,av_d_band_center_surf,av_W_change_H
# 3;  2; Unitless;                                         3|16|div|exp:1.9563352699229e-01,0.0000000000000e+00,4.5184514210074e+01,8.9575950467747e-02; (exp(1.956335e-01*((std_dev+4.518451e+01) / (av_BE_H_surf+8.957595e-02)))); $\left(\exp{ \left(1.956e-01\left(\frac{ std_{dev} +4.518e+01 }{ av_{BE, H, surf}+8.958e-02 } \right) \right)}\right)$; exp(1.956335e-01.*((std_dev+4.518451e+01) ./ (av_BE_H_surf+8.957595e-02))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.334177837197769e-01,  4.250188800000000e+03, -3.866400000000000e+01, -2.448678623471018e+00,  1.053623337142258e-02
PdAg_1_9_100,  4.212956441336370e-01,  4.273295676671751e-01,  2.125094400000000e+03, -7.732800000000000e+01, -4.897357246942036e+00,  1.053623337142258e-02
PdAg_1_9_100,  4.889175556194310e-01,  4.581286730181057e-01,  1.416729600000000e+03, -1.159920000000000e+02, -7.346035870413054e+00,  1.053623337142258e-02
PdAg_1_9_100,  5.056601140297000e-01,  4.731496087199196e-01,  1.062547200000000e+03, -1.546560000000000e+02, -9.794714493884072e+00,  1.053623337142258e-02
PdAg_1_9_100,  5.343009987338970e-01,  4.874133104744306e-01,  7.083647999999999e+02, -2.319840000000000e+02, -1.469207174082611e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.245052994310410e-01,  4.937879274043828e-01,  5.312736000000000e+02, -3.093120000000000e+02, -1.958942898776814e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.250038067660980e-01,  4.956603883985999e-01,  4.722432000000000e+02, -3.479760000000000e+02, -2.203810761123916e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.301609565427799e-01,  4.986480764397296e-01,  3.541824000000000e+02, -4.639680000000000e+02, -2.938414348165222e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.331594707700800e-01,  4.993876327807122e-01,  3.035849142857143e+02, -5.412960000000000e+02, -3.428150072859425e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.337303696543760e-01,  4.995636830627971e-01,  2.656368000000000e+02, -6.186240000000000e+02, -3.917885797553629e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.368098128623250e-01,  4.991604486793368e-01,  2.236941473684211e+02, -7.346160000000000e+02, -4.652489384594934e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.370904880212340e-01,  4.982476322617537e-01,  1.931904000000000e+02, -8.506079999999999e+02, -5.387092971636239e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.243066765750370e-01,  4.974503538966528e-01,  1.770912000000000e+02, -9.279360000000000e+02, -5.876828696330443e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.397703104721880e-01,  4.970086833423326e-01,  1.700075520000000e+02, -9.665999999999999e+02, -6.121696558677544e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.484023401121820e-01,  4.950243711988553e-01,  1.465582344827586e+02, -1.121256000000000e+03, -7.101168008065952e+01,  1.053623337142258e-02
PdAg_1_9_100,  5.513618316460450e-01,  4.944847671777481e-01,  1.416729600000000e+02, -1.159920000000000e+03, -7.346035870413053e+01,  1.053623337142258e-02
