# c0 + a0 * (av_E_b_C_subsurf * std_dev) + a1 * sqrt(time) + a2 * (time / av_E_def_subsurf) + a3 * (av_BE_H_subsurf * av_BE_H_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.132843660177078; Max AE: 0.531565675199152
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -3.469985584411847e-02, -6.499996233370821e-02,  3.308344344017471e-04,  6.514680411948945e-01, -7.101894595652182e-01, 
# 3   , -3.717550173669251e-02, -1.165382181587997e-01,  7.670498131033037e-04,  6.418602164310591e-01, -4.858169311343264e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * nm;                                          13|3|mult; (av_E_b_C_subsurf * std_dev); $\left(av_{E, b, C, subsurf} std_{dev}\right)$; (av_E_b_C_subsurf .* std_dev); av_E_b_C_subsurf,std_dev
# 1;  1; min^0.5;                                          0|sqrt; sqrt(time); $\left(\sqrt{ time }\right)$; sqrt(time); time
# 2;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 3;  1; eV^2;                                             19|16|mult; (av_BE_H_subsurf * av_BE_H_surf); $\left(av_{BE, H, subsurf} av_{BE, H, surf}\right)$; (av_BE_H_subsurf .* av_BE_H_surf); av_BE_H_subsurf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  6.008614765402557e-01,  1.403100000000000e+01,  3.674234614174767e+00,  6.553398058252428e+01,  3.093120000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  5.236177737107991e-01,  1.403100000000000e+01,  5.196152422706632e+00,  1.310679611650486e+02,  3.093120000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.693911555797342e-01,  1.403100000000000e+01,  6.363961030678928e+00,  1.966019417475728e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.923809935599084e-01,  1.403100000000000e+01,  8.215838362577491e+00,  3.276699029126214e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.379001205309481e-01,  1.403100000000000e+01,  9.721111047611791e+00,  4.587378640776699e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.159534463553483e-01,  1.403100000000000e+01,  1.039230484541326e+01,  5.242718446601942e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.966584326880378e-01,  1.403100000000000e+01,  1.102270384252430e+01,  5.898058252427185e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.508620048934472e-01,  1.403100000000000e+01,  1.272792206135786e+01,  7.864077669902913e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.387611713907539e-01,  1.403100000000000e+01,  1.324764129949177e+01,  8.519417475728155e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.095996029622728e-01,  1.403100000000000e+01,  1.469693845669907e+01,  1.048543689320388e+03,  3.093120000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  1.950127086003556e-01,  1.403100000000000e+01,  1.558845726811990e+01,  1.179611650485437e+03,  3.093120000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  1.788703846423497e-01,  1.403100000000000e+01,  1.683745824048274e+01,  1.376213592233010e+03,  3.093120000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.659025680367362e-01,  1.403100000000000e+01,  1.837117307087384e+01,  1.638349514563107e+03,  3.093120000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.639351190597477e-01,  1.403100000000000e+01,  1.873499399519519e+01,  1.703883495145631e+03,  3.093120000000000e+00
