# c0 + a0 * (av_EA / time) + a1 * (av_bulk_int_dist / particle_diameter) + a2 * (av_E_b_C_subsurf * av_EA) + a3 * (av_delta_M1_M2_subsurf * av_IP) + a4 * (exp(1.000004e+00*av_delta_M1_M2_subsurf))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00789840139856183; Max AE: 0.0577392821650608
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -3.022580446569245e-01, -1.896785154484653e-01,  9.287224035436087e-02, -2.885571899275905e+00,  2.042319656352776e+01, -2.072182986154454e+01, 
# 3   , -2.641832680249739e-01, -1.790582748802804e-01,  6.439518915015968e-02, -1.879058986888703e+00,  1.399746871592737e+01, -1.421454639234886e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * min^-1;                                      6|0|div; (av_EA / time); $\left(\frac{ av_{EA} }{ time } \right)$; (av_EA ./ time); av_EA,time
# 1;  1; A * nm^-1;                                        8|2|div; (av_bulk_int_dist / particle_diameter); $\left(\frac{ av_{bulk, int, dist} }{ particle_{diameter} } \right)$; (av_bulk_int_dist ./ particle_diameter); av_bulk_int_dist,particle_diameter
# 2;  1; eV^2;                                             13|6|mult; (av_E_b_C_subsurf * av_EA); $\left(av_{E, b, C, subsurf} av_{EA}\right)$; (av_E_b_C_subsurf .* av_EA); av_E_b_C_subsurf,av_EA
# 3;  1; eV;                                               15|5|mult; (av_delta_M1_M2_subsurf * av_IP); $\left(av_{delta, M1, M2, subsurf} av_{IP}\right)$; (av_delta_M1_M2_subsurf .* av_IP); av_delta_M1_M2_subsurf,av_IP
# 4;  1; Unitless;                                         15|exp:1.0000042432216e+00,0.0000000000000e+00; (exp(1.000004e+00*av_delta_M1_M2_subsurf)); $\left(\exp{ \left(1.000e+00av_{delta, M1, M2, subsurf} \right)}\right)$; exp(1.000004e+00.*av_delta_M1_M2_subsurf); av_delta_M1_M2_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 164                   
# 3   , 181                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  7.106406789827700e-02,  7.261981570793269e-02,  2.277407407407408e-02,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.338282477917900e-02,  7.399654512763293e-02,  1.821925925925926e-02,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.556995017871942e-02,  1.301375661375661e-02,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.606163925718151e-02,  1.138703703703704e-02,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.675000396703341e-02,  9.109629629629629e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.700031840697891e-02,  8.281481481481482e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.720891377360134e-02,  7.591358024691358e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.738541754535605e-02,  7.007407407407408e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.753670649257488e-02,  6.506878306878307e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.766782358016572e-02,  6.073086419753087e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.778255103180770e-02,  5.693518518518519e-03,  4.792333333333333e-01,  5.751774599999999e+00,  5.533998720000000e-01,  1.074999618686992e+00
