# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * ((particle_diameter / av_E_coh) * (av_E_def_subsurf * total_metal_loading)) + a2 * (exp(8.420768e-04*((time+3.656118e+02) / (av_BE_H_subsurf+1.381328e+00)))) + a3 * (exp(3.785093e+01*((av_BE_H_subsurf+1.355591e+00) / (time+5.739869e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.104266035959081; Max AE: 0.587682040712341
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -6.117755625429874e-07,  1.167271834859317e+02, -5.393171117453770e+00, -4.600282561275802e+01,  4.573720414587074e+01, 
# 3   , -1.227379115972563e-06,  1.374172610113133e+02, -2.262367067213789e+00,  4.185946783581244e+00, -4.158598347327633e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); ((newdata$time / newdata$av_W_change_H) / (newdata$av_d_band_center_surf - newdata$av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; atom * nm;                                        2|9|div|14|1|mult|mult; ((particle_diameter / av_E_coh) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(\frac{ particle_{diameter} }{ av_{E, coh} } \right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; ((particle_diameter ./ av_E_coh) .* (av_E_def_subsurf .* total_metal_loading)); ((newdata$particle_diameter / newdata$av_E_coh) * (newdata$av_E_def_subsurf * newdata$total_metal_loading)); particle_diameter,av_E_coh,av_E_def_subsurf,total_metal_loading
# 2;  2; Unitless;                                         0|19|div|exp:8.4207681482308e-04,0.0000000000000e+00,3.6561180265154e+02,1.3813279840339e+00; (exp(8.420768e-04*((time+3.656118e+02) / (av_BE_H_subsurf+1.381328e+00)))); $\left(\exp{ \left(8.421e-04\left(\frac{ time +3.656e+02 }{ av_{BE, H, subsurf}+1.381e+00 } \right) \right)}\right)$; exp(8.420768e-04.*((time+3.656118e+02) ./ (av_BE_H_subsurf+1.381328e+00))); exp(8.420768e-04*((newdata$time+3.656118e+02) / (newdata$av_BE_H_subsurf+1.381328e+00))); time,av_BE_H_subsurf
# 3;  2; Unitless;                                         19|0|div|exp:3.7850929315107e+01,0.0000000000000e+00,1.3555913914170e+00,5.7398691066533e+02; (exp(3.785093e+01*((av_BE_H_subsurf+1.355591e+00) / (time+5.739869e+02)))); $\left(\exp{ \left(3.785e+01\left(\frac{ av_{BE, H, subsurf} +1.356e+00 }{ time+5.740e+02 } \right) \right)}\right)$; exp(3.785093e+01.*((av_BE_H_subsurf+1.355591e+00) ./ (time+5.739869e+02))); exp(3.785093e+01*((newdata$av_BE_H_subsurf+1.355591e+00) / (newdata$time+5.739869e+02))); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.539550238560226e-01, -7.660313335186942e+01,  5.170355731225296e-03,  1.836030879220959e-03,  9.950892017959448e-01
PdAg_1_9_100,  4.212956441336370e-01,  5.509293684018186e-01, -1.532062667037388e+02,  5.170355731225296e-03,  1.467060362913471e-03,  9.951992480907867e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.477257320716673e-01, -2.298094000556082e+02,  5.170355731225296e-03,  1.172238513409440e-03,  9.953044704303760e-01
PdAg_1_9_100,  5.056601140297000e-01,  5.444101996891290e-01, -3.064125334074777e+02,  5.170355731225296e-03,  9.366643439206748e-04,  9.954051792032117e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.410339054005195e-01, -3.830156667593470e+02,  5.170355731225296e-03,  7.484313841733595e-04,  9.955016587284660e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.376361548651394e-01, -4.596188001112164e+02,  5.170355731225296e-03,  5.980258995137849e-04,  9.955941699366248e-01
PdAg_1_9_100,  5.224295719363120e-01,  5.342469101350946e-01, -5.362219334630859e+02,  5.170355731225296e-03,  4.778460444764465e-04,  9.956829527260236e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.308887662339067e-01, -6.128250668149553e+02,  5.170355731225296e-03,  3.818176477096254e-04,  9.957682280400905e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.275785224223443e-01, -6.894282001668247e+02,  5.170355731225296e-03,  3.050872091287083e-04,  9.958501997031679e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.243284303583873e-01, -7.660313335186941e+02,  5.170355731225296e-03,  2.437765926543312e-04,  9.959290560470251e-01
PdAg_1_9_100,  5.309811253181910e-01,  5.211471847607655e-01, -8.426344668705635e+02,  5.170355731225296e-03,  1.947870161317872e-04,  9.960049713553840e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.180407089327465e-01, -9.192376002224329e+02,  5.170355731225296e-03,  1.556424316231454e-04,  9.960781071497790e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.150127769192202e-01, -9.958407335743022e+02,  5.170355731225296e-03,  1.243643801452139e-04,  9.961486133367177e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.120655056211995e-01, -1.072443866926172e+03,  5.170355731225296e-03,  9.937199571870003e-05,  9.962166292332889e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.091997434454202e-01, -1.149047000278041e+03,  5.170355731225296e-03,  7.940210469900666e-05,  9.962822844859830e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.064153766822814e-01, -1.225650133629911e+03,  5.170355731225296e-03,  6.344538202170359e-05,  9.963456998954747e-01
PdAg_1_9_100,  5.357515610659280e-01,  5.037115705069262e-01, -1.302253266981780e+03,  5.170355731225296e-03,  5.069533754978999e-05,  9.964069881584106e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.010869580681142e-01, -1.378856400333649e+03,  5.170355731225296e-03,  4.050755417325704e-05,  9.964662545357810e-01
PdAg_1_9_100,  5.368098128623250e-01,  4.985397883922678e-01, -1.455459533685519e+03,  5.170355731225296e-03,  3.236711745903251e-05,  9.965235974562185e-01
PdAg_1_9_100,  5.372121836650180e-01,  4.960680416462325e-01, -1.532062667037388e+03,  5.170355731225296e-03,  2.586259066953126e-05,  9.965791090614956e-01
