# c0 + a0 * ((particle_diameter^3) * (av_EA / time)) + a1 * ((av_E_def_subsurf * time) / (ln(-1.0*av_PE+2.506000e+00))) + a2 * ((time / av_B_0) / (ln(1.0*av_EA-4.927737e-01))) + a3 * ((particle_diameter * time) / (ln(1.0*av_EA-4.927737e-01))) + a4 * (exp(3.520510e+00*((av_BE_H_subsurf+1.094006e+00) / (std_dev+8.158638e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.103566574230029; Max AE: 0.449226410314024
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.561108368531824e-02, -3.925869540641349e-03,  1.149187105163861e-01, -1.035981915822187e-04,  1.010217340199637e+01, -8.504290187344473e+00, 
# 3   , -8.523636706970308e-03, -8.197308415401155e-03,  2.430058819750578e-01, -2.172533181674108e-04,  1.059879471805874e+01, -8.812033362310006e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1 * nm^3;                               2|cb|6|0|div|mult; ((particle_diameter^3) * (av_EA / time)); $\left(\left(particle_{diameter}^3\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; ((particle_diameter).^3 .* (av_EA ./ time)); particle_diameter,av_EA,time
# 1;  2; eV * min;                                         14|0|mult|7|log:-1.0000000000000e+00,2.5060000001000e+00|div; ((av_E_def_subsurf * time) / (ln(-1.0*av_PE+2.506000e+00))); $\left(\frac{ \left(av_{E, def, subsurf} time\right) }{ \left(\ln{ \left(-1.0av_{PE}+2.506e+00 \right)}\right) } \right)$; ((av_E_def_subsurf .* time) ./ log(-1.0*av_PE+2.506000e+00)); av_E_def_subsurf,time,av_PE
# 2;  2; Gpa^-1 * min;                                     0|10|div|6|log:1.0000000000000e+00,-4.9277366391752e-01|div; ((time / av_B_0) / (ln(1.0*av_EA-4.927737e-01))); $\left(\frac{ \left(\frac{ time }{ av_{B, 0} } \right) }{ \left(\ln{ \left(1.0av_{EA}-4.928e-01 \right)}\right) } \right)$; ((time ./ av_B_0) ./ log(1.0*av_EA-4.927737e-01)); time,av_B_0,av_EA
# 3;  2; min * nm;                                         2|0|mult|6|log:1.0000000000000e+00,-4.9277366391752e-01|div; ((particle_diameter * time) / (ln(1.0*av_EA-4.927737e-01))); $\left(\frac{ \left(particle_{diameter} time\right) }{ \left(\ln{ \left(1.0av_{EA}-4.928e-01 \right)}\right) } \right)$; ((particle_diameter .* time) ./ log(1.0*av_EA-4.927737e-01)); particle_diameter,time,av_EA
# 4;  2; Unitless;                                         19|3|div|exp:3.5205102052641e+00,0.0000000000000e+00,1.0940062644321e+00,8.1586383679491e+00; (exp(3.520510e+00*((av_BE_H_subsurf+1.094006e+00) / (std_dev+8.158638e+00)))); $\left(\exp{ \left(3.521e+00\left(\frac{ av_{BE, H, subsurf} +1.094e+00 }{ std_{dev}+8.159e+00 } \right) \right)}\right)$; exp(3.520510e+00.*((av_BE_H_subsurf+1.094006e+00) ./ (std_dev+8.158638e+00))); av_BE_H_subsurf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 178                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  4.212956441336370e-01,  4.195939065737375e-01,  9.838400000000000e+00, -9.275304897934344e+00, -8.206862827670870e-01, -5.309183700476840e+02,  8.988529703136752e-01
PdAg_1_9_100,  4.889175556194310e-01,  4.693417404700832e-01,  6.558933333333333e+00, -1.391295734690152e+01, -1.231029424150631e+00, -7.963775550715259e+02,  8.988529703136752e-01
PdAg_1_9_100,  5.056601140297000e-01,  4.934915600781530e-01,  4.919200000000000e+00, -1.855060979586869e+01, -1.641372565534174e+00, -1.061836740095368e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.074021739709181e-01,  3.935360000000000e+00, -2.318826224483586e+01, -2.051715706917718e+00, -1.327295925119210e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.260958027897665e-01,  2.459600000000000e+00, -3.710121959173738e+01, -3.282745131068348e+00, -2.123673480190736e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.289139438242781e-01,  2.186311111111111e+00, -4.173887204070455e+01, -3.693088272451892e+00, -2.389132665214578e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.308788177158480e-01,  1.967680000000000e+00, -4.637652448967172e+01, -4.103431413835436e+00, -2.654591850238420e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.331020312131042e-01,  1.639733333333333e+00, -5.565182938760607e+01, -4.924117696602522e+00, -3.185510220286104e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.338625010367452e-01,  1.405485714285714e+00, -6.492713428554040e+01, -5.744803979369610e+00, -3.716428590333788e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.338770500301614e-01,  1.311786666666667e+00, -6.956478673450758e+01, -6.155147120753153e+00, -3.981887775357630e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.337087560643760e-01,  1.229800000000000e+00, -7.420243918347475e+01, -6.565490262136696e+00, -4.247346960381472e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.329455345613333e-01,  1.093155555555556e+00, -8.347774408140910e+01, -7.386176544903784e+00, -4.778265330429155e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.368098128623250e-01,  5.323955158210719e-01,  1.035621052631579e+00, -8.811539653037627e+01, -7.796519686287327e+00, -5.043724515452997e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.372121836650180e-01,  5.317556794868189e-01,  9.838399999999999e-01, -9.275304897934345e+01, -8.206862827670871e+00, -5.309183700476839e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.374193757726820e-01,  5.310388566434284e-01,  9.369904761904762e-01, -9.739070142831062e+01, -8.617205969054414e+00, -5.574642885500682e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.370904880212340e-01,  5.302555454512344e-01,  8.944000000000000e-01, -1.020283538772778e+02, -9.027549110437958e+00, -5.840102070524524e+03,  8.988529703136752e-01
PdAg_1_9_100,  5.357670351206070e-01,  5.294144183035648e-01,  8.555130434782608e-01, -1.066660063262450e+02, -9.437892251821500e+00, -6.105561255548366e+03,  8.988529703136752e-01
