# c0 + a0 * ((std_dev / time) * (av_E_def_subsurf^6)) + a1 * ((std_dev + particle_diameter) * (av_E_def_subsurf / av_PE)) + a2 * (exp(1.266464e-03*((time+6.777928e+02) / (av_BE_H_subsurf+1.225554e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.126221303779729; Max AE: 0.666547454399549
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  3.091276976472727e+03, -8.506499540319288e-01,  4.444263678032802e+00,  1.072110427631658e+00, 
# 3   ,  2.641377218249012e+03, -1.030348291699445e+00,  4.414413212990200e+00,  1.059427329617434e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^6 * min^-1 * nm;                               3|0|div|14|sp|mult; ((std_dev / time) * (av_E_def_subsurf^6)); $\left(\left(\frac{ std_{dev} }{ time } \right) \left(av_{E, def, subsurf}^6\right)\right)$; ((std_dev ./ time) .* (av_E_def_subsurf).^6); std_dev,time,av_E_def_subsurf
# 1;  2; eV * nm;                                          3|2|add|14|7|div|mult; ((std_dev + particle_diameter) * (av_E_def_subsurf / av_PE)); $\left(\left(std_{dev} + particle_{diameter}\right) \left(\frac{ av_{E, def, subsurf} }{ av_{PE} } \right)\right)$; ((std_dev + particle_diameter) .* (av_E_def_subsurf ./ av_PE)); std_dev,particle_diameter,av_E_def_subsurf,av_PE
# 2;  2; Unitless;                                         0|19|div|exp:1.2664642714316e-03,0.0000000000000e+00,6.7779275089636e+02,1.2255538253429e+00; (exp(1.266464e-03*((time+6.777928e+02) / (av_BE_H_subsurf+1.225554e+00)))); $\left(\exp{ \left(1.266e-03\left(\frac{ time +6.778e+02 }{ av_{BE, H, subsurf}+1.226e+00 } \right) \right)}\right)$; exp(1.266464e-03.*((time+6.777928e+02) ./ (av_BE_H_subsurf+1.225554e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 269                   
# 3   , 270                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.827075644172198e-01,  1.698207710619022e-05,  9.473684210526315e-01,  1.439602626425463e-02
PdAg_1_9_100,  6.062451827416920e-01,  3.513742723062720e-01,  8.491038553095109e-06,  9.473684210526315e-01,  1.325182319850104e-02
PdAg_1_9_100,  3.628741788873400e-01,  3.379439175595346e-01,  5.660692368730072e-06,  9.473684210526315e-01,  1.219856194069141e-02
PdAg_1_9_100,  3.099375324862660e-01,  3.292603006087407e-01,  4.245519276547555e-06,  9.473684210526315e-01,  1.122901439235295e-02
PdAg_1_9_100,  2.919675286925200e-01,  3.226690358770081e-01,  3.396415421238044e-06,  9.473684210526315e-01,  1.033652694774307e-02
PdAg_1_9_100,  2.856868471553150e-01,  3.172679648543288e-01,  2.830346184365036e-06,  9.473684210526315e-01,  9.514974832891850e-03
PdAg_1_9_100,  2.813651505179750e-01,  3.126570572978439e-01,  2.426011015170031e-06,  9.473684210526315e-01,  8.758720073799360e-03
PdAg_1_9_100,  2.773647395214370e-01,  3.086257612785887e-01,  2.122759638273777e-06,  9.473684210526315e-01,  8.062572805340791e-03
PdAg_1_9_100,  2.742250823045090e-01,  3.050486855617299e-01,  1.886897456243357e-06,  9.473684210526315e-01,  7.421755655358324e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.018437901674541e-01,  1.698207710619022e-06,  9.473684210526315e-01,  6.831870959522457e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.989533141853383e-01,  1.543825191471838e-06,  9.473684210526315e-01,  6.288870581971862e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.963341832793400e-01,  1.415173092182518e-06,  9.473684210526315e-01,  5.789028134623264e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.939527973274971e-01,  1.306313623553094e-06,  9.473684210526315e-01,  5.328913404503843e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.917820122555570e-01,  1.213005507585015e-06,  9.473684210526315e-01,  4.905368813611534e-03
