# c0 + a0 * ((ln(1.0*time+3.454247e+00)) / (av_BE_H_surf * surface_area)) + a1 * ((total_metal_loading / av_PE) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * (exp(1.697883e+01*(av_W_change_H * (particle_diameter-5.930166e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00800603102154588; Max AE: 0.0521121364486135
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -9.947953550537803e-01, -7.177120483730376e-02, -2.240396240793204e-01,  2.745569209735613e-01, 
# 3   , -1.768167617097398e+00, -5.240508333297831e-02, -2.102778557477553e-01,  2.389589289218058e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,3.4542465464182e+00|16|4|mult|div; ((ln(1.0*time+3.454247e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time+3.454e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time+3.454247e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 1;  2; eV^-1;                                            1|7|div|18|16|sub|div; ((total_metal_loading / av_PE) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ total_{metal, loading} }{ av_{PE} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((total_metal_loading ./ av_PE) ./ (av_d_band_center_surf - av_BE_H_surf)); total_metal_loading,av_PE,av_d_band_center_surf,av_BE_H_surf
# 2;  2; Unitless;                                         17|2|mult|exp:1.6978834166627e+01,0.0000000000000e+00,-7.2522008191624e-02,-5.9301657109286e+00; (exp(1.697883e+01*(av_W_change_H * (particle_diameter-5.930166e+00)))); $\left(\exp{ \left(1.698e+01\left(av_{W, change, H} * \left(particle_{diameter}-5.930e+00\right)\right) \right)}\right)$; exp(1.697883e+01.*(av_W_change_H .* (particle_diameter-5.930166e+00))); av_W_change_H,particle_diameter
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.409791846576413e-02, -2.166555964031456e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.641282263564319e-02, -2.399257509944273e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.943409090765734e-02, -2.702965026939147e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.053295033767831e-02, -2.813425879459066e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.228307999603245e-02, -2.989354491254758e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.300440429642152e-02, -3.061864309150928e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.423863583574875e-02, -3.185933197596884e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.477562366005297e-02, -3.239912925344531e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.527046915627306e-02, -3.289656371944489e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.572930828014973e-02, -3.335780343226191e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.655758090903869e-02, -3.419040948000944e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.693421454845151e-02, -3.456901361954373e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.728962484986257e-02, -3.492628338322475e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.762607663125903e-02, -3.526449543828433e-02, -3.792825705921019e-03,  1.036798812834266e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.794549047058497e-02, -3.558558041089028e-02, -3.792825705921019e-03,  1.036798812834266e+00
