# c0 + a0 * ((ln(1.0*time-5.204947e+00)) / (av_BE_H_surf * surface_area)) + a1 * ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00893331419231558; Max AE: 0.0670263077638482
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -7.517381927800456e-01, -5.497913372300321e-04, -5.256487418276627e-01,  1.814144928945459e+00, 
# 3   , -1.174840218386069e+00, -3.955409445206711e-04, -5.013047288379889e-01,  1.722111135390151e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-5.2049474395502e+00|16|4|mult|div; ((ln(1.0*time-5.204947e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-5.205e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-5.204947e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 1;  2; Unitless;                                         13|11|add|18|16|sub|div; ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, b, C, subsurf} + av_{mu, C, critical, surf}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_b_C_subsurf + av_mu_C_critical_surf) ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_b_C_subsurf,av_mu_C_critical_surf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A;                                                8|6|div|14|6|add|mult; ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA)); $\left(\left(\frac{ av_{bulk, int, dist} }{ av_{EA} } \right) \left(av_{E, def, subsurf} + av_{EA}\right)\right)$; ((av_bulk_int_dist ./ av_EA) .* (av_E_def_subsurf + av_EA)); av_bulk_int_dist,av_EA,av_E_def_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.980336831738368e-02, -1.341742300877573e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.440887908869512e-02, -1.954390536066953e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.670709550759606e-02, -2.260110857446627e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.825122013234323e-02, -2.465518090919335e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.941569483895964e-02, -2.620422380444646e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.035084328396383e-02, -2.744820535811207e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.180351824440072e-02, -2.938062674415942e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.239179482538642e-02, -3.016318187656570e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.291539024705911e-02, -3.085969487364572e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.381636461952705e-02, -3.205821635508856e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.457383208507566e-02, -3.306583772223940e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.491174738922217e-02, -3.351534967652332e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.522728868312016e-02, -3.393509859566653e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.580188036399631e-02, -3.469944938480395e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.606513451173617e-02, -3.504964330905595e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.631460967816255e-02, -3.538150773848433e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.655167681443557e-02, -3.569686638136025e-02, -3.652834599649328e-01,  3.357049373881932e+00
